MpCodigo;MpNombre;MpArea;MpCategor;SHAPE_Leng;SHAPE_Area;MpAltitud;Depto;Poblacion;Longitud;Latitud
81300;Fortul;1155,525253;1;226517,0841;1155525253;244;Arauca;17566;-71,8294463;6,705313591
8558;Polonuevo;73,80719457;1;49116,79449;73807194,57;75;Atl†ntico;17527;-74,8541485;10,76740086
41319;Guadalupe;249,5356162;1;82889,37135;249535616,2;888;Huila;17499;-75,6969286;1,984388927
5591;Puerto Triunfo;369,6544264;1;109400,359;369654426,4;152;Antioquia;17479;-74,6861076;5,954866498
13744;Simit°;1352,835477;1;283631,5482;1352835477;25;Bol°var;17459;-73,9837136;7,851319475
19364;Jambal¢;234,4998387;1;95961,76632;234499838,7;2250;Cauca;17340;-76,3112491;2,849810586
23168;Chima;324,0582249;1;100129,8697;324058224,9;4;C¢rdoba;17202;-75,6523821;9,110250197
70265;Guaranda;361,3974451;1;154840,4527;361397445,1;25;Sucre;17180;-74,6761917;8,383885717
66440;Marsella;149,2976688;1;67839,45556;149297668,8;1600;Risaralda;17151;-75,753214;4,942936244
41791;Tarqui;362,7909173;1;101349,3439;362790917,3;840;Huila;17127;-75,8753484;2,130280544
27150;Carmen Del DariÇn;3182,687492;1;384603,8275;3182687492;5;Choc¢;17011;-76,974232;7,033647637
85162;Monterrey;777,5734258;1;170645,3589;777573425,8;430;Casanare;16960;-72,8473433;4,841308641
23586;Pur°sima;117,4947535;1;86855,78263;117494753,5;6;C¢rdoba;16896;-75,7213634;9,282268124
19585;PuracÇ;506,4534333;1;116885,0057;506453433,3;2400;Cauca;16893;-76,4585811;2,271823559
85139;Man°;3745,281326;1;459834,1749;3745281326;175;Casanare;16744;-72,2128027;4,675769485
76670;San Pedro;202,2270107;1;85666,24207;202227010,7;975;Valle del Cauca;16685;-76,2083844;3,981423954
8832;Tubar†;182,9492893;1;80545,01466;182949289,3;268;Atl†ntico;16630;-74,9842522;10,90720184
5649;San Carlos;717,30757;1;154544,7748;717307570;1000;Antioquia;16616;-74,9073276;6,193789659
66456;Mistrat¢;564,7361588;1;123910,3471;564736158,8;1501;Risaralda;16602;-75,9613538;5,41407814
54172;Chin†cota;165,8917598;1;83379,77376;165891759,8;1230;Norte de Santander;16553;-72,5839127;7,58334745
5789;T†mesis;252,194536;1;87640,72665;252194536;1500;Antioquia;16417;-75,7097997;5,67375857
25151;C†queza;111,4052094;1;63942,85182;111405209,4;1658;Cundinamarca;16377;-73,9447937;4,402230238
25873;Villapinz¢n;225,8039251;1;89743,83054;225803925,1;2724;Cundinamarca;16338;-73,5772592;5,227298709
20383;La Gloria;801,5780792;1;215268,412;801578079,2;35;Cesar;16245;-73,6330806;8,621330166
